sep=;
Name;Status;URL;Clean URL;Payouts;Life time;Monitoring;Admin rate;User rate;Funds return;Min deposit;Max deposit;Referral bonus
Thai Monetary Fund;PAYING;https://www.thaimonetaryfund.com/client/goldpoll.html;http://www.thaimonetaryfund.com;1.1-1.7% daily!;121 days;120 days;2;62.0;115.50%;$10;$1,000,000;5%
Private Investment Fund;PAYING;http://private-ifund.com/;http://private-ifund.com;5-10% monthly!;806 days;450 days;1;0.7;100.60%;$100;$100,000;10%
Lithuania Trade;PAYING;http://lithuaniatrade.net/?ref=goldpoll;http://lithuaniatrade.net;1-2% weekly!;1025 days;1025 days;1;0.4;143.00%;$10;n/a;5%
Aglow Investment Club;PAYING;http://aglowinv.com;http://aglowinv.com;4% weekly!;373 days;373 days;1;45.2;212.00%;$10;$100,000;n/a
Lotus River;PAYING;http://lotusriver.net/?ref=goldpoll;http://lotusriver.net;4.5-7.5% weekly!;458 days;458 days;1;0.1;283.50%;$10;n/a;5%
Onet Capital;PAYING;http://onetcapital.com/?ref=goldpoll;http://onetcapital.com;0.3-0.5% daily!;458 days;458 days;1;0.1;96.60%;$10;n/a;4%
AM Fund Group;PAYING;http://amfundgroup.com/?ref=goldpoll;http://amfundgroup.com;2-3% daily!;170 days;170 days;2;18.8;338.00%;$1;n/a;5%
Forex Share;PAYING;http://forexshare.biz/?ref=goldpoll;http://forexshare.biz;0.6-2.4% daily!;358 days;358 days;1;1.1;205.80%;$5;$200,000;1-5%
Diamond Coins;PAYING;http://diamondcoins.net/?ref=goldpoll;http://diamondcoins.net;0.4-1% daily!;335 days;335 days;1;0.3;91.60%;$10;n/a;6%
Cheetah Shares;PAYING;http://cheetahshares.com/?ref=goldpoll;http://cheetahshares.com;0.5-2% daily!;335 days;335 days;1;0.1;114.00%;$20;n/a;4%
Invest Area;PAYING;http://invest-area.com/?ref=goldpoll;http://invest-area.com;1.3-3% daily!;200 days;200 days;2;0.1;250.90%;$10;n/a;7%
NFSCO;PAYING;http://nfsco.biz/?ref=goldpoll;http://nfsco.biz;1.7-4% daily!;125 days;125 days;2;0.1;205.70%;$20;n/a;7%
Oil Finance;PAYING;http://www.oilfinanceco.biz;http://www.oilfinanceco.biz;108% after 1 month or 20-25% every 7 business days!;1230 days;1960 days;1;0.7;608.00%;$25;$500,000;n/a
World Trade Market;PAYING;http://worldtrademarket.biz/?ref=goldpoll;http://worldtrademarket.biz;2-4% daily!;294 days;294 days;1;0.4;474.00%;$10;n/a;4%
Royal Earn;PAYING;https://www.royalearn.com/goldpoll.html;http://www.royalearn.com;8-11% daily for 15 days!;105 days;105 days;2;18.4;568.00%;$30;$200,000;5%
Mercanus;PAYING;http://mercanus.net/?ref=goldpoll;http://mercanus.net;103% after 1 week!;315 days;315 days;1;0.1;232.00%;$10;$350;1%
Profits Progress;PAYING;http://profitsprogress.com/?ref=goldpoll;http://profitsprogress.com;10.5-18% daily!;282 days;282 days;1;36.7;1453.00%;$5;n/a;4-5%
Fin - Corporation;PAYING;https://fin-corporation.com//?ref=goldpoll;http://fin-corporation.com;1.4-1.8% daily!;133 days;132 days;2;77.9;179.20%;$10;$90,000;1-5%
Fxweal;PAYING;http://fxweal.com/?ref=goldpoll;http://fxweal.com;0.5-2% daily!;296 days;296 days;1;0.1;91.50%;$10;$100,000;5%
FinMutual;PAYING;https://www.finmutual.com/?ref=goldpoll;http://www.finmutual.com;1.8-2.6% daily!;215 days;215 days;2;28.3;264.60%;$25;n/a;5%
Aen Digit;PAYING;http://aendigit.com/?ref=goldpoll;http://aendigit.com;8-12% monthly!;335 days;335 days;1;0.1;72.00%;$90;n/a;5%
3Choose;PAYING;http://www.3choose.com/?r=admin@goldpoll.com&a=U1786712&e=PerfectMoney;http://www.3choose.com;1.1-4% daily!;252 days;251 days;1;2.1;196.90%;$30;$30,000;3%
In-India;PAYING;http://in-india.in/?ref=goldpoll;http://in-india.in;3% weekly!;226 days;226 days;1;0.2;93.00%;$50;$500;2%
KLM Trade;PAYING;http://klmtrade.com/?ref=goldpoll;http://klmtrade.com;3-5% daily!;153 days;153 days;2;8.9;324.00%;$1;n/a;5%
Bank of Belize;PAYING;http://bank-of-belize.com/?ref=goldpoll;http://bank-of-belize.com;4% weekly!;214 days;214 days;1;0.1;120.00%;$50;$10,000;2-3%
Safety Assets;PAYING;http://www.safetyassets.com/?ref=goldpoll;http://www.safetyassets.com;3.49% daily!;92 days;92 days;2;5.1;321.08%;$5;n/a;1-4%
Eblone;PAYING;https://eblone.com/?ref=eblone81364;http://eblone.com;1.3-1.7% daily!;92 days;55 days;2;11.0;59.50%;$50;n/a;5%
Fx Capitalism;PAYING;http://www.fxcapitalism.com/?ref=goldpoll;http://www.fxcapitalism.com;5.5-10% daily!;674 days;674 days;1;63.3;1319.00%;$10;n/a;4-5%
Endless Investment;PROBLEM;http://www.endlessinvestment.com/?ref=U1786712;http://www.endlessinvestment.com;7-9% daily for 15 days!;239 days;240 days;1;4.6;987.00%;$5;n/a;5%
Inv Global Ltd;PAYING;https://inv.bz/?ref=INV36790;http://inv.bz;1.2-2.5% daily!;169 days;169 days;1;15.6;183.60%;$10;n/a;5-8%
Invinator;PAYING;http://invinator.com/index.php?ref=goldpoll;http://invinator.com;2.5-3% daily!;156 days;156 days;1;12.6;275.00%;$1;n/a;5%
Fxglonet;PAYING;http://fxglonet.com/?ref=goldpoll;http://fxglonet.com;4.5-8% daily!;153 days;135 days;1;31.2;589.50%;$5;n/a;4-5%
Betnet Co;PAYING;http://betnetco.com/?ref=goldpoll;http://betnetco.com;2-3% daily!;115 days;116 days;2;0.3;224.00%;$25;n/a;10%
MH Profit;PAYING;http://mhprofit.com/?ref=goldpoll;http://mhprofit.com;4-5% daily!;110 days;110 days;2;7.8;308.00%;$1;$100,000;1-10%
ATB Union;PAYING;https://atbunion.com/index.php?ref=14791;http://atbunion.com;1-2.4% daily!;135 days;135 days;1;19.6;129.00%;$10;$90,000;5%
FX-9;PAYING;https://fx-9.net/?ref=goldpoll;http://fx-9.net;2.3-2.9% daily!;132 days;132 days;1;22.7;289.80%;$10;$20,000;1-4%
Solid Trade Bank;PAYING;https://solidtradebank.com/?ref=goldpoll;http://solidtradebank.com;0.5% daily!;142 days;143 days;1;3.1;66.00%;$25;$1,000,000;1-5%
ApexBinary Ltd;PAYING;https://apexbinary.com/?ref=goldpoll;http://apexbinary.com;1.2-2.4% daily!;86 days;86 days;2;13.2;93.60%;$10;n/a;5%
Dublin Cryptorium Ltd;PAYING;https://www.cryptory.com/?id=304061;http://www.cryptory.com;0.25-0.5% daily!;113 days;100 days;1;0.0;24.50%;$50;$100,000;20-30%
Barclays Royal Club Ltd;PAYING;https://barclaysclub.com/?ref=goldpoll;http://barclaysclub.com;9.5-10.5% daily!;31 days;31 days;2;22.1;285.00%;$10;$20,000;6%
Sodis Fund;PAYING;https://sodisfund.biz/?rid=96;http://sodisfund.biz;7.5-11% daily!;46 days;46 days;2;35.4;210.00%;$10;$10,000,000;10%
Kings Of Profit;PAYING;http://kingsofprofit.biz/?ref=goldpoll;http://kingsofprofit.biz;103-130% after 1 day!;85 days;85 days;1;65.0;277.00%;$10;$50,000;1%
MS Invest;PAYING;http://msinv.biz;http://msinv.biz;110-115% after 1 month!;1185 days;2249 days;1;-0.7;832.82%;$100;$5,000;n/a
Alternative Energy;PAYING;http://alternative-energy.biz/?ref=goldpoll;http://alternative-energy.biz;103-130% after 1 day!;54 days;54 days;2;48.5;238.00%;$10;$100,000;3%
Remi Trade;PAYING;http://remitrade.com/?partner=goldpoll;http://remitrade.com;0.44-3% daily!;92 days;92 days;1;12.9;63.20%;$10;$500,000;5%
Global Invest Group;PAYING;http://globalinvestgroup.net/?ref=goldpoll;http://globalinvestgroup.net;1% weekly!;110 days;110 days;1;0.1;15.00%;$10;$100,000;1%
Engineer Investments;PROBLEM;http://engineer-inv.com/?ref=goldpoll;http://engineer-inv.com;5-11% daily!;87 days;87 days;1;5.2;235.00%;$1;$1,000,000;5%
Air Forex;PAYING;https://www.airforex.net/partner/goldpoll;http://www.airforex.net;1.1-3.5% daily!;108 days;100 days;1;0.2;80.30%;$5;100,000;3-10%
Fxline Limited;PAYING;http://fxlineltd.com/?ref=goldpoll;http://fxlineltd.com;0.5-3.5% daily!;86 days;86 days;1;4.9;241.50%;$10;$50,000;6%
Inside Forex;PAYING;http://www.inside-forex.info/en/?r=goldpoll;http://www.inside-forex.info;1-3% daily!;126 days;70 days;1;4.5;47.04%;$10;$10,000;5%
Financial Promoter Llc;PAYING;https://www.financialpromoter.com/?ref=goldpoll;http://www.financialpromoter.com;1-2% daily!;107 days;83 days;1;-0.9;116.00%;$10;$100,000;5%
FX - 500;PAYING;http://fx-500.com/?ref=goldpoll;http://fx-500.com;3% weekly!;78 days;78 days;1;0.1;33.00%;$50;n/a;2%
K and B Investment;PAYING;http://kebinvestment.com/?ref=goldpoll;http://kebinvestment.com;0.5-2% daily!;73 days;73 days;1;10.3;48.00%;$10;$100,000;2%
Global Business Technology;PAYING;http://gbt-network.com/ref/52af1286c60a669207b2eaea.php;http://gbt-network.com;0.85-1.6% daily!;74 days;73 days;1;0.1;61.00%;$50;$10,000;3-7%
FinLegacy;PAYING;https://finlegacy.com/?ref=goldpoll;http://finlegacy.com;1% daily or 10% weekly!;87 days;53 days;1;0.1;48.00%;$10;$250;10%
AcroFx Ltd;PAYING;https://www.acrofx.com/@goldpoll;http://www.acrofx.com;1.5-3.5% daily!;68 days;68 days;1;7.8;82.50%;$25;$1,000,000;12%
Michael Kazakov Investment Group Ltd;PAYING;http://michaelkazakov.com/?ref=goldpoll;http://michaelkazakov.com;0.3-0.5% daily!;71 days;65 days;1;0.2;12.90%;$20;n/a;2%
Lev Club;PAYING;http://levclub.com/U1786712;http://levclub.com;5% daily!;71 days;57 days;1;8.0;265.00%;$1;$2,000;5%
ITMobiles;PAYING;https://itmobiles.net/?ref=goldpoll;http://itmobiles.net;0.9-7.85% daily!;83 days;71 days;1;5.2;423.90%;$10;$50,000;5%
Paying Profit;PAYING;http://www.payingprofit.biz/?ref=goldpoll;http://www.payingprofit.biz;6-7% daily!;104 days;54 days;1;12.3;279.30%;$1;n/a;4%
Zeus - Invest;PAYING;https://zeus-invest.com/?ref=goldpoll;http://zeus-invest.com;0.9-1.5% daily!;92 days;92 days;1;0.1;74.12%;$10;$50,000;1-10%
Instant Maker;PAYING;http://instant-maker.com/?ref=goldpoll;http://instant-maker.com;102.5-110% after 1 day!;72 days;72 days;1;4.9;125.50%;$5;$80,000;3-5%
Ebuild Wealth;PAYING;http://www.ebuildwealth.com/?ref=goldpoll;http://www.ebuildwealth.com;1-15.7% daily!;54 days;49 days;1;7.3;723.80%;$10;$10,000;3%
Deposit Merchant;PAYING;http://www.depositmerchant.com;http://www.depositmerchant.com;8-11% daily!;50 days;50 days;1;0.2;288.00%;$10;$200,000;n/a
UE Centre;PAYING;http://www.uecentre.com/?ref=goldpoll;http://www.uecentre.com;1-1.4% daily!;47 days;44 days;1;21.1;35.00%;$10;n/a;5%
Lionstone Fund;PAYING;http://lionstonefund.com/?ref=goldpoll;http://lionstonefund.com;0.9-1.6% daily!;77 days;54 days;1;0.1;39.60%;$5;$25,000;2-6%
Hunting - Fund;PROBLEM;https://hunting-fund.com/?ref=goldpoll;http://hunting-fund.com;104-130% after 1 day!;44 days;44 days;1;0.1;139.40%;$10;$100,000;1%
Large - Deal;PAYING;http://www.large-deal.com/?LDC=goldpoll;http://www.large-deal.com;103-120% after 1 day!;42 days;43 days;1;4.7;90.00%;$10;$80,000;5%
American - Finance;PAYING;http://american-finance.biz/index.php?e=admin@goldpoll.com;http://american-finance.biz;10-15% daily for 12 days!;42 days;42 days;1;0.2;310.00%;$10;$100,000;5%
Como Credit;PAYING;http://www.comocredit.biz/?ref=628934;http://www.comocredit.biz;1.4-2% daily!;44 days;34 days;1;0.3;68.00%;$10;$50,000;5-8%
Holy 25 Pay;PAYING;https://www.holy25pay.com/ref/goldpoll;http://www.holy25pay.com;2-25% daily!;43 days;35 days;1;0.3;155.00%;$10;$5,000;1-15%
Bett Coin Ltd;PAYING;https://bettcoin.com/?user=goldpoll;http://bettcoin.com;1-2.6% daily!;42 days;31 days;1;3.2;30.00%;$10;$20,000;7%
Alvin Fund;PAYING;http://alvinspace.com;http://alvinspace.com;2-20% after 1 day!;37 days;37 days;1;0.2;50.00%;$10;$200,000;3%
Atlantic - US;PAYING;https://atlantic-us.com/?bis=goldpoll;http://atlantic-us.com;1.34-1.84% daily!;99 days;41 days;1;0.1;37.52%;$15;$26,000;5%
Zeppelin Invest;PAYING;https://zeppelininvest.com/?zref=goldpoll;http://zeppelininvest.com;0.8-3.2% daily!;35 days;35 days;1;0.1;28.00%;$30;$30,000;3-5%
BTC eTrade;PAYING;https://btc-etrade.com/?ref=goldpoll;http://btc-etrade.com;102.5-140% after 1 day!;35 days;34 days;1;0.7;160.00%;$10;$200,000;2%
Tristar Profit Fund;PAYING;http://www.tristarprofitfund.com/GO1754248;http://www.tristarprofitfund.com;1.8-3% daily!;33 days;33 days;1;0.4;192.00%;$10;n/a;1-5%
Hex Fund;PAYING;https://hexfund.net/?ref=goldpoll;http://hexfund.net;6-9% daily!;30 days;30 days;1;17.2;150.00%;$10;$30,000;10%
FXF Traders;PAYING;http://fxftraders.ru/?ref=goldpoll;http://fxftraders.ru;0.5-12.5% weekly!;57 days;37 days;1;0.1;6.24%;$10;n/a;3%
Forvision Ltd;PAYING;http://forvisionltd.com/?ref=goldpoll;http://forvisionltd.com;102-120% after 1 day!;29 days;29 days;1;2.5;160.00%;$10;$20,000;5%
Bets Plus;PAYING;https://betsplus.co/?ref=goldpoll;http://betsplus.co;1.4-2.3% daily!;27 days;27 days;1;0.1;35.00%;$10;$10,000;6%
Nano Industry Investments;PAYING;http://nanoindustryinv.com/?ref=goldpoll;http://nanoindustryinv.com;104% after 7 days!;43 days;42 days;1;0.1;120.00%;$20;$500;1%
Eos Financial;PAYING;http://eosz.com/?ref=goldpoll;http://eosz.com;0.9-1.65% daily!;25 days;25 days;1;0.1;20.70%;$10;$30,000;1-3%
X-Axis Inc;PAYING;https://x-axisinc.com/?ref=goldpoll;http://x-axisinc.com;1-4% daily!;25 days;23 days;1;3.5;42.00%;$10;n/a;5-7%
Oil - Green;PAYING;http://oil-green.com/?ref=goldpoll;http://oil-green.com;103-120% after 1 day!;23 days;22 days;1;1.0;148.00%;$10;$100,000;2%
Vast Earn;PAYING;http://vastearn.biz/?ref=goldpoll;http://vastearn.biz;104-130% after 1 day!;23 days;23 days;1;0.4;168.00%;$10;$100,000;4%
Highline FX;PAYING;http://highlinefx.com/?ref_str=goldpoll;http://highlinefx.com;various;23 days;24 days;1;0.1;33.80%;$10;n/a;6%
InflexShares;PROBLEM;http://inflexshares.com/?ref=IFSgoldpoll;http://inflexshares.com;2-2.5% daily!;58 days;22 days;1;0.1;22.00%;$10;$50,000;5%
CashLab;PAYING;http://www.cashlab.biz/index.php?ref=goldpoll;http://www.cashlab.biz;103-120% after 1 day!;19 days;19 days;1;7.7;136.00%;$7;$30,000;3%
Gold of Maya;PAYING;https://goldofmaya.com/ref-goldpoll;http://goldofmaya.com;2-8% daily!;23 days;22 days;1;0.9;152.00%;$10;$10,000;2-5%
Lucrative Investment;PAYING;http://lucrative-investment.net/?affID=WGF5RJZZ;http://lucrative-investment.net;103-125% after 1 day!;37 days;37 days;1;2.3;66.00%;$10;$5,000;5%
Index - Group;PAYING;https://www.index-group.net/?ref=goldpoll;http://www.index-group.net;1.1-2% daily!;21 days;20 days;1;0.1;22.00%;$10;$15,000;5%
3-Business;PAYING;http://3-business.com/?ref=goldpoll;http://3-business.com;3% weekly!;20 days;20 days;1;0.1;6.00%;$55;$555;1%
C-7;PAYING;http://c-7.cc/?ref=goldpoll;http://c-7.cc;3% weekly!;19 days;19 days;1;0.2;6.00%;$50;$500;1%
IWM;PAYING;https://int-wm.com/register?id=5;http://int-wm.com;1-4% daily!;16 days;16 days;1;10.1;13.00%;$1;n/a;1%
Stamp Pool Inc;PROBLEM;https://stamppool.com/home.php?id=miner098;http://stamppool.com;0.5-2.5% daily!;18 days;17 days;1;0.1;13.20%;$10;n/a;1-6%
Forex Paradise;PAYING;http://forexparadise.biz/?ref=goldpoll;http://forexparadise.biz;0.5-0.9% daily!;17 days;17 days;1;0.1;6.00%;$25;$500,000;1-5%
Forex Bulls Limited;PAYING;http://forexbullsltd.com/?ref=goldpoll;http://forexbullsltd.com;2-6% daily!;168 days;33 days;1;0.1;26.00%;$10;n/a;5%
Honesty Invest;PAYING;http://honestyinvest.com/?ref=goldpoll;http://honestyinvest.com;8-10% daily!;15 days;17 days;1;6.5;88.00%;$5;$25,000;1-3%
Energy - Money;PAYING;https://energy-money.net/?ref=goldpoll;http://energy-money.net;1.1-2.7% daily!;17 days;15 days;1;0.1;14.30%;$10;$30,000;4%
Expert Forex Group;PAYING;http://efgroup.biz/?ref=goldpoll;http://efgroup.biz;101-107% after 1 day or 2-10.5% daily!;16 days;16 days;1;0.1;24.00%;$15;n/a;4%
Invest - Technology;PAYING;https://invest-technology.com/?partner=admin@goldpoll.com;http://invest-technology.com;18-19% daily!;75 days;22 days;1;1.4;324.00%;$10;$20,000;3%
PornRotor;PAYING;https://pornrotor.com/?ref=goldpoll;http://pornrotor.com;0.5-2.5% daily!;14 days;10 days;1;0.1;13.60%;$1;$500,000;5%
Sunrise Investments;PAYING;http://sunriseinvestment.net/?ref=goldpoll;http://sunriseinvestment.net;1-1.5% daily!;10 days;10 days;1;0.3;9.00%;$10;$10,000;5%
Gold - Lands;PAYING;https://gold-lands.biz/?ref=goldpoll;http://gold-lands.biz;102-106% after 1 day!;9 days;9 days;1;2.0;112.00%;$5;n/a;3.5%
Pro Capitaler;PAYING;https://procapitaler.com/?ref=goldpoll;http://procapitaler.com;1-1.6% daily!;9 days;9 days;1;2.5;9.60%;$25;n/a;5%
MDLFund;PAYING;http://mdlfund.com/?ref=goldpoll;http://mdlfund.com;103-131% after 1 day!;5 days;4 days;1;0.7;106.00%;$10;$100,000;2%
Forex Prestige;PAYING;http://forex-prestige.com/?ref=goldpoll;http://forex-prestige.com;103-130% after 1 day!;8 days;8 days;1;0.1;115.00%;$10;$50,000;3%
Ebuild Group;PAYING;http://ebuildgroup.com/?ref=goldpoll;http://ebuildgroup.com;27.5-40% daily!;6 days;6 days;1;0.1;114.00%;$10;n/a;2%
BustaBank;PAYING;https://bustabank.com/?ref=goldpoll;http://bustabank.com;1.4-2.5% daily!;7 days;5 days;1;1.1;2.80%;$10;$100,000;5%
VIP Realty;PAYING;https://viprealty.cc/?ref=goldpoll;http://viprealty.cc;102-120% after 1 day!;38 days;9 days;1;0.9;112.00%;$10;$100,000;1%
Eccoprix;PAYING;https://eccoprix.com/index.php?r=185;http://eccoprix.com;103-122% after 1 day!;4 days;4 days;1;0.2;106.00%;$10;$100,000;3%
Doubles BTC;PAYING;http://doublesbitcoin.com/?ref=goldpoll;http://doublesbitcoin.com;10-25% daily!;6 days;6 days;1;0.1;75.00%;$1;$100,000;5%
Safety Depositary;WAITING;http://safetydepositary.net/?ref=goldpoll;http://safetydepositary.net;110-116% after 30 days!;24 days;21 days;1;0.1;0.00%;$50;$250,000;1-5%
Hyip Roads;PAYING;https://hyiproads.com/?ref=goldpoll;http://hyiproads.com;104-120% after 1 day!;2 days;2 days;1;0.3;108.00%;$5;$6,000;6%
Nisource Inc;PAYING;https://nisourceinc.com/?ref=goldpoll;http://nisourceinc.com;4.32-5.2% hourly!;2 days;2 days;1;0.1;103.68%;$8;$30,000;5%
Gold Profit Explorer Co;WAITING;http://goldprofitexplorer.com/?ref=goldpoll;http://goldprofitexplorer.com;101-110% after 1 day!;3 days;3 days;1;0.1;0.00%;$50;$100,000;2-10%
Lobona;PAYING;http://www.lobona.com/?ref=goldpoll;http://www.lobona.com;6-8% daily!;2 days;2 days;1;0.5;12.00%;$1;n/a;5%
City Build Trade;WAITING;http://citybuildtrade.com/?ref=goldpoll;http://citybuildtrade.com;105% after 7 days!;2 days;1 day;1;0.1;0.00%;$1;$500,000;1-10%
Queen Investment Ltd;WAITING;https://q-inv.com/link?ref=goldpoll;http://q-inv.com;2-5% daily!;0 days;0 days;1;0.1;0.00%;$1;$10,000;1-7%
Gamco Funds Ltd;WAITING;https://gamcofundsltd.com/?ref=goldpoll;http://gamcofundsltd.com;5-10% daily!;0 days;0 days;1;0.1;0.00%;$7;$60,000;5%
FX - Community;WAITING;http://fx-community.com/?ref=goldpoll;http://fx-community.com;14-18% daily!;0 days;0 days;1;0.1;0.00%;$1;$5,000;5%
Just 1 Hour;PAYING;http://just1hour.info/?ref=goldpoll;http://just1hour.info;102% after 1 hour!;2 days;2 days;1;0.3;132.00%;$5;$100,000;2-15%
Afsa Investment;NOT PAYING;http://afsainvestment.com/?ref=goldpoll;http://afsainvestment.com;21-25% daily!;623 days;623 days;2;5.4;749.00%;$10;n/a;5%
Fran Investment;NOT PAYING;http://Franinvestment.com/?ref=goldpoll;http://Franinvestment.com;2-5% daily!;623 days;623 days;1;-1.2;932.00%;$25;n/a;5%
E - Profitex;NOT PAYING;https://e-profitex.com/?ref=goldpoll;http://e-profitex.com;103-130% after 1 day!;20 days;20 days;1;0.0;143.00%;$10;$100,000;3%
Maxim FX Group;NOT PAYING;http://maximfxgroup.com/?ref=goldpoll;http://maximfxgroup.com;1.5-3% daily!;16 days;15 days;1;3.4;22.00%;$10;$100,000;4%
